"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
224,"FSLR","First Solar Inc","Technology","Solar","USA",26425.70,18.32,238.66,-3.09%,3712047
225,"FSM","Fortuna Mining Corp","Basic Materials","Gold","Canada",3149.41,13.86,10.26,3.01%,6619519
226,"FTAI","FTAI Aviation Ltd","Industrials","Rental & Leasing Services","USA",24494.41,56.20,245.73,2.90%,1949131
227,"FTI","TechnipFMC plc","Energy","Oil & Gas Equipment & Services","USA",19999.47,22.44,50.07,1.27%,3057135
228,"FTV","Fortive Corp","Technology","Scientific & Technical Instruments","USA",17535.34,31.40,55.00,-0.38%,2916868
229,"FULT","Fulton Financial Corp","Financial","Banks - Regional","USA",3578.11,10.37,19.80,-0.45%,1990633
230,"FYBR","Frontier Communications Parent Inc","Communication Services","Telecom Services","USA",9552.90,,38.16,0.00%,4678851
231,"G","Genpact Ltd","Technology","Information Technology Services","Bermuda",8210.37,15.55,48.24,1.30%,1266174
232,"GAP","Gap, Inc","Consumer Cyclical","Apparel Retail","USA",10570.02,12.68,28.32,-0.35%,12049255
233,"GE","GE Aerospace","Industrials","Aerospace & Defense","USA",331675.67,42.88,321.59,2.27%,3508038
234,"GEHC","GE HealthCare Technologies Inc","Healthcare","Medical Devices","USA",40158.79,18.05,87.28,-1.00%,2991496
235,"GEV","GE Vernova Inc","Industrials","Specialty Industrial Machinery","USA",168896.99,100.88,622.50,-0.94%,3105778
236,"GFI","Gold Fields Ltd ADR","Basic Materials","Gold","South Africa",40893.46,21.91,45.69,0.29%,2108745
237,"GFS","GlobalFoundries Inc","Technology","Semiconductors","USA",21621.57,,39.74,2.13%,1905299
238,"GGAL","Grupo Financiero Galicia ADR","Financial","Banks - Regional","Argentina",7480.95,10.31,56.46,0.25%,800211
239,"GH","Guardant Health Inc","Healthcare","Diagnostics & Research","USA",14068.17,,110.17,1.32%,2412066
240,"GIL","Gildan Activewear Inc","Consumer Cyclical","Apparel Manufacturing","Canada",11748.40,20.25,63.45,-0.09%,862244
241,"GKOS","Glaukos Corporation","Healthcare","Medical Devices","USA",6556.18,,112.92,-1.08%,575942
242,"GLBE","Global E Online Ltd","Consumer Cyclical","Internet Retail","Israel",6862.13,1042.36,41.59,2.69%,1180437
243,"GLW","Corning, Inc","Technology","Electronic Components","USA",73158.56,54.05,85.23,-0.12%,6113283
244,"GM","General Motors Company","Consumer Cyclical","Auto Manufacturers","USA",79414.48,16.66,82.87,-2.65%,12142888
245,"GMAB","Genmab ADR","Healthcare","Biotechnology","Denmark",21103.82,14.55,34.26,1.87%,1525186
246,"GMED","Globus Medical Inc","Healthcare","Medical Devices","USA",12736.37,30.53,94.47,-0.16%,2247656
247,"GOOG","Alphabet Inc","Communication Services","Internet Content & Information","USA",3967936.31,32.47,329.14,0.96%,17917732
248,"GOOGL","Alphabet Inc","Communication Services","Internet Content & Information","USA",3967936.31,32.41,328.57,0.96%,26214166
249,"GRAL","GRAIL Inc","Healthcare","Diagnostics & Research","USA",3821.82,,100.10,2.10%,535716
250,"GS","Goldman Sachs Group, Inc","Financial","Capital Markets","USA",281626.85,19.07,938.98,0.44%,1334087
251,"GSAT","Globalstar Inc","Communication Services","Telecom Services","USA",7579.86,,60.00,0.40%,695507
252,"GTM","ZoomInfo Technologies Inc","Technology","Software - Application","USA",3296.65,32.83,10.40,-1.70%,3754558
253,"GXO","GXO Logistics Inc","Industrials","Integrated Freight & Logistics","USA",6388.73,74.62,57.00,2.15%,1278137
254,"HAL","Halliburton Co","Energy","Oil & Gas Equipment & Services","USA",27075.13,21.60,32.63,1.43%,11457498
255,"HALO","Halozyme Therapeutics Inc","Healthcare","Biotechnology","USA",8482.27,15.23,72.47,0.47%,1919908
256,"HAS","Hasbro, Inc","Consumer Cyclical","Leisure","USA",12509.64,,86.72,-2.71%,2797715
257,"HASI","HA Sustainable Infrastructure Capital Inc","Financial","Asset Management","USA",4129.09,14.56,33.46,2.17%,1636966
258,"HAYW","Hayward Holdings Inc","Industrials","Electrical Equipment & Parts","USA",3484.99,26.48,16.45,2.36%,1716754
259,"HBAN","Huntington Bancshares, Inc","Financial","Banks - Regional","USA",29086.61,12.82,18.24,-1.25%,29643598
260,"HBM","Hudbay Minerals Inc","Basic Materials","Copper","Canada",8540.99,18.56,21.56,2.13%,3174955
261,"HCA","HCA Healthcare Inc","Healthcare","Medical Care Facilities","USA",109309.44,18.24,472.07,-1.45%,870067
262,"HE","Hawaiian Electric Industries, Inc","Utilities","Utilities - Regulated Electric","USA",2358.00,19.46,14.77,8.13%,5306911
263,"HI","Hillenbrand Inc","Industrials","Specialty Industrial Machinery","USA",2241.47,52.27,31.79,-0.06%,743345
264,"HIG","Hartford Insurance Group Inc.(The)","Financial","Insurance - Diversified","USA",38428.66,11.13,136.26,-1.20%,1125507
