contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,volume_nonzero,oi_ov,bas,ticker,expiry
AMD260320C00330000,2026-01-09 18:58:31+00:00,330.0,0.68,0.65,0.69,-0.060000002,-8.1081085,370.0,2316,0.5835002587890624,False,REGULAR,USD,370.0,6.2594594594594595,0.039999999999999925,AMD,2026-03-20
AMD260320C00350000,2026-01-09 19:01:47+00:00,350.0,0.46,0.41,0.45,0.0,0.0,71.0,2273,0.5971719970703125,False,REGULAR,USD,71.0,32.014084507042256,0.040000000000000036,AMD,2026-03-20
AMD260320C00430000,2026-01-08 15:41:33+00:00,430.0,0.1,0.08,0.11,0.0,0.0,53.0,2043,0.65039412109375,False,REGULAR,USD,53.0,38.54716981132076,0.03,AMD,2026-03-20
AMD260320C00470000,2026-01-08 16:32:37+00:00,470.0,0.05,0.02,0.08,0.0,0.0,105.0,1150,0.6718782812500002,False,REGULAR,USD,105.0,10.952380952380953,0.06,AMD,2026-03-20
AMD260320C00530000,2026-01-09 20:53:57+00:00,530.0,0.03,0.01,0.05,0.01,50.0,169.0,4163,0.7226590234375,False,REGULAR,USD,169.0,24.633136094674555,0.04,AMD,2026-03-20
AMZN260320C00260000,2026-01-09 20:58:56+00:00,260.0,9.5,9.4,9.5,0.25,2.7027028,1013.0,15579,0.34348190704345705,False,REGULAR,USD,1013.0,15.379072063178677,0.09999999999999964,AMZN,2026-03-20
AMZN260320C00265000,2026-01-09 20:53:07+00:00,265.0,7.74,7.7,7.8,0.13999987,1.8421035,319.0,6427,0.3406132833862304,False,REGULAR,USD,319.0,20.147335423197493,0.09999999999999964,AMZN,2026-03-20
AMZN260320C00270000,2026-01-09 20:57:53+00:00,270.0,6.3,6.25,6.35,0.1500001,2.4390259,901.0,12146,0.3382024188232422,False,REGULAR,USD,901.0,13.480577136514983,0.09999999999999964,AMZN,2026-03-20
AMZN260320C00275000,2026-01-09 20:59:02+00:00,275.0,5.15,5.0,5.1,0.1500001,3.000002,510.0,7690,0.3354558642578125,False,REGULAR,USD,510.0,15.07843137254902,0.09999999999999964,AMZN,2026-03-20
AMZN260320C00280000,2026-01-09 20:56:58+00:00,280.0,4.1,4.0,4.1,0.119999886,3.0150723,638.0,9086,0.3343572424316406,False,REGULAR,USD,638.0,14.241379310344827,0.09999999999999964,AMZN,2026-03-20
AMZN260320C00285000,2026-01-09 20:48:44+00:00,285.0,3.22,3.2,3.3,0.17000008,5.573773,357.0,2434,0.334418276977539,False,REGULAR,USD,357.0,6.817927170868347,0.09999999999999964,AMZN,2026-03-20
AMZN260320C00290000,2026-01-09 20:57:26+00:00,290.0,2.59,2.54,2.59,0.029999971,1.1718739,171.0,6673,0.332587240600586,False,REGULAR,USD,171.0,39.0233918128655,0.04999999999999982,AMZN,2026-03-20
AMZN260320C00300000,2026-01-09 20:54:54+00:00,300.0,1.6,1.59,1.63,-0.029999971,-1.840489,899.0,20622,0.33338068969726564,False,REGULAR,USD,899.0,22.938820912124584,0.039999999999999813,AMZN,2026-03-20
AMZN260320C00315000,2026-01-09 20:30:10+00:00,315.0,0.8,0.79,0.82,0.02000004,2.564108,119.0,1225,0.33765310791015624,False,REGULAR,USD,119.0,10.294117647058824,0.029999999999999916,AMZN,2026-03-20
AMZN260320C00325000,2026-01-09 20:58:22+00:00,325.0,0.51,0.5,0.52,0.01999998,4.081629,156.0,1675,0.3413151806640625,False,REGULAR,USD,156.0,10.737179487179487,0.020000000000000018,AMZN,2026-03-20
AMZN260320C00355000,2026-01-09 15:18:50+00:00,355.0,0.13,0.14,0.16,-0.02000001,-13.33334,103.0,848,0.36133451171875,False,REGULAR,USD,103.0,8.233009708737864,0.01999999999999999,AMZN,2026-03-20
AMZN260320C00370000,2026-01-08 20:35:11+00:00,370.0,0.1,0.08,0.1,0.0,0.0,73.0,3051,0.37402969726562496,False,REGULAR,USD,73.0,41.794520547945204,0.020000000000000004,AMZN,2026-03-20
